28,34.5,15,29,15.5,20,16.666666667,33,8.620833333,10,14,18.5,18,18,9.083333333,10,99,73,21.5
27.5,33.5,14,29,19,28,16.666666667,31,9.0875,10,21,19,21,21,10.5,10,106,87,24.125
27,27,11,27,18.5,26.5,15.333333333,27.5,8.6125,10,19,15,21,21,10.166666667,10,97,90,23.375
27,25,16,26.5,13,23,6.666666667,40,8.225,10,17,15.5,0,19,8.583333333,10,81,66,18.375
25,31.5,18,27,16,26.5,15.333333333,0,8.458333333,10,16,18.5,13,15,8.25,10,65,72,17.125
9,19.5,2,0,11.5,0,0,15,2.875,10,0,7,0,7,2.333333333,10,90,52,17.75
23,26.5,15,28,14.5,9,16,0,7.6875,10,20,22,17.5,11,9.916666667,10,86,79,20.625
22,31,12,22,13.5,26,16.666666667,32,7.729166667,10,17,14,11,17,8,10,59,54,14.125
30,0,0,0,0,0,0,0,1.575,10,19,6,16,20,9.166666667,10,88,60,18.5
30,33,20,30,15.5,25.5,17.333333333,36.5,9.229166667,10,13,16,16,15,7.833333333,10,87,75,20.25
26,25,5.5,17,11,24,10.666666667,22.5,6.866666667,10,14,6.5,6,3,4.416666667,10,65,48,14.125
27,34.5,17,30,17.5,10,12.666666667,28,7.916666667,10,17,11.5,13,18,8,10,95,81,22
25,31.5,15,21,14.5,26,17.333333333,36,8.204166667,10,14,17,21,21,9.833333333,10,98,84,22.75
0,0,0,0,2,0,0,0,0.95,10,6,9.5,6,17,5.416666667,10,89,59,18.5
25,40,14,20.5,16.5,23.5,16,0,8.2875,10,17,21.5,18.5,18.5,9.75,10,88,77,20.625
28,29.5,0,28,0,24,1.333333333,25,6.645833333,10,21,10,12,14,7.833333333,10,55,81,17
28,33.5,17,30,19,25,17.333333333,39,9.245833333,10,18,16.5,17,16.5,8.583333333,10,107,90,24.625
28,37.5,15,30,0,23,12.666666667,0,7.695833333,10,12,6.5,6,0,4.083333333,10,39,69,13.5
28,0,8,0,0,10.5,8,13,4.170833333,10,0,15.5,0,0,2.583333333,10,93,80,21.625
30,28,18,29,16.5,26,10,21,8.045833333,10,20,14.5,14.5,16,8.416666667,10,80,70,18.75
28,36,19,30,17,27,16,38,9.095833333,10,18,11,15,16,8.166666667,10,88,80,21
27,35,11,29,15,27,18,36,9.004166667,10,22,15.5,20,21,10.5,10,95,87,22.75
27,35,17,29.5,15.5,26,16,33,8.775,10,14,14.5,19,17,8.416666667,10,87,102,23.625
26.5,40,16,28,19.5,30,16.666666667,32.5,9.0625,10,16,20,18.5,22,10.083333333,10,100,104,25.5
28,33,15,30,16,26,16.666666667,34,8.633333333,10,11,11,19,17,7.833333333,10,101,86,23.375
29.5,35.5,18,28,19.5,28,18,21,9.425,10,22,18,20,21,10.5,10,110,98,26
16,31,18,28,15.5,0,15.333333333,27.5,7.320833333,10,8,18,20,20,9.666666667,10,87,87,21.75
29.5,40,20,30,19,29,18,38,9.8,10,19,22,22,22,11,10,106,92,24.75
27,25,0,26,6.5,22.5,12.666666667,18.5,6.9375,10,14,7.5,0,17,6.416666667,10,70,61,16.375
25.5,30.5,16,28,18,24,16.666666667,33,8.391666667,10,22,20,18,18,10,10,92,95,23.375
26.5,24.5,11,28,10.5,24,16.666666667,14,7.6,10,8,12.5,19,14,7.583333333,10,85,82,20.875
29.5,40,17,29,17,25,18.666666667,29,9.266666667,10,19,18.5,22,19,10,10,102,101,25.375
28.5,40,19,30,19,26,17.333333333,37,9.370833333,10,21,11,14,18,8.833333333,10,93,91,23
16,33,0,25,8,20,13.333333333,36,7.3,10,15,13.5,4,11,6.583333333,10,68,45,14.125
25.5,30,17,22,14.5,0,17.333333333,33,8.075,10,15,20.5,18,16,9.083333333,10,85,90,21.875
26,25,15,24,14.5,22,6.666666667,15,6.708333333,10,0,9,2,12,3.833333333,10,67,61,16
0,19,11,26,14,23,0,0,3.358333333,10,7,4,10,0,3.5,10,66,32,12.25
23.5,16,6,27,12.5,23,14.666666667,22,6.595833333,10,13,9,2,13,5.833333333,10,51,38,11.125
10,39.5,0,21,17.5,16,10,27,7.166666667,10,13,0,11,18,7,10,58,88,18.25
27.5,29.5,16,29,13,23,11.333333333,28,7.975,10,12,13.5,15,19,7.916666667,10,85,66,18.875